sigla_uf,cod_uf,cod_mun,nom_mun, pop 
RO,11,00015,Alta Floresta D'Oeste,21558
RO,11,00023,Ariquemes,100896
RO,11,00031,Cabixi,5107
RO,11,00049,Cacoal,92202
RO,11,00056,Cerejeiras,15237
RO,11,00064,Colorado do Oeste,15747
RO,11,00072,Corumbiara,7503
RO,11,00080,Costa Marques,12633
RO,11,00098,Espigão D'Oeste,29722
RO,11,00106,Guajará-Mirim,39396
RO,11,00114,Jaru,52090
RO,11,00122,Ji-Paraná,136825
RO,11,00130,Machadinho D'Oeste,30626
RO,11,00148,Nova Brasilândia D'Oeste,17355
RO,11,00155,Ouro Preto do Oeste,36753
RO,11,00189,Pimenta Bueno,37464
RO,11,00205,Porto Velho,461748
RO,11,00254,Presidente Médici,19316
RO,11,00262,Rio Crespo,3476
RO,11,00288,Rolim de Moura,57180
RO,11,00296,Santa Luzia D'Oeste,7394
RO,11,00304,Vilhena,95599
RO,11,00320,São Miguel do Guaporé,21612
RO,11,00338,Nova Mamoré,25452
RO,11,00346,Alvorada D'Oeste,13092
RO,11,00379,Alto Alegre dos Parecis,13023
RO,11,00403,Alto Paraíso,17140
RO,11,00452,Buritis,28178
RO,11,00502,Novo Horizonte do Oeste,7653
RO,11,00601,Cacaulândia,4157
RO,11,00700,Campo Novo de Rondônia,8840
RO,11,00809,Candeias do Jamari,22564
RO,11,00908,Castanheiras,3269
RO,11,00924,Chupinguaia,9351
RO,11,00940,Cujubim,14338
RO,11,01005,Governador Jorge Teixeira,8012
RO,11,01104,Itapuã do Oeste,9465
RO,11,01203,Ministro Andreazza,6440
RO,11,01302,Mirante da Serra,9200
RO,11,01401,Monte Negro,11966
RO,11,01435,Nova União,6194
RO,11,01450,Parecis,3953
RO,11,01468,Pimenteiras do Oeste,2180
RO,11,01476,Primavera de Rondônia,3071
RO,11,01484,São Felipe D'Oeste,5259
RO,11,01492,São Francisco do Guaporé,16302
RO,11,01500,Seringueiras,11183
RO,11,01559,Teixeirópolis,4284
RO,11,01609,Theobroma,9253
RO,11,01708,Urupá,10828
RO,11,01757,Vale do Anari,7806
RO,11,01807,Vale do Paraíso,6487
AC,12,00013,Acrelândia,12707
AC,12,00054,Assis Brasil,8157
AC,12,00104,Brasiléia,25786
AC,12,00138,Bujari,11962
AC,12,00179,Capixaba,9737
AC,12,00203,Cruzeiro do Sul,94345
AC,12,00252,Epitaciolândia,18697
AC,12,00302,Feijó,35035
AC,12,00328,Jordão,11105
AC,12,00336,Mâncio Lima,19172
AC,12,00344,Manoel Urbano,12246
AC,12,00351,Marechal Thaumaturgo,16825
AC,12,00385,Plácido de Castro,16313
AC,12,00393,Porto Walter,10706
AC,12,00401,Rio Branco,364368
AC,12,00427,Rodrigues Alves,16072
AC,12,00435,Santa Rosa do Purus,7672
AC,12,00450,Senador Guiomard,21658
AC,12,00500,Sena Madureira,39746
AC,12,00609,Tarauacá,43072
AC,12,00708,Xapuri,18181
AC,12,00807,Porto Acre,16218
AM,13,00029,Alvarães,15916
AM,13,00060,Amaturá,10814
AM,13,00086,Anamã,9927
AM,13,00102,Anori,17052
AM,13,00144,Apuí,21403
AM,13,00201,Atalaia do Norte,15440
AM,13,00300,Autazes,41672
AM,13,00409,Barcelos,18399
AM,13,00508,Barreirinha,30990
AM,13,00607,Benjamin Constant,37436
AM,13,00631,Beruri,20807
AM,13,00680,Boa Vista do Ramos,24018
AM,13,00706,Boca do Acre,35964
AM,13,00805,Borba,33209
AM,13,00839,Caapiranga,13851
AM,13,00904,Canutama,17362
AM,13,01001,Carauari,29176
AM,13,01100,Careiro,30819
AM,13,01159,Careiro da Várzea,19615
AM,13,01209,Coari,71130
AM,13,01308,Codajás,24071
AM,13,01407,Eirunepé,33173
AM,13,01506,Envira,17034
AM,13,01605,Fonte Boa,27692
AM,13,01654,Guajará,13809
AM,13,01704,Humaitá,59504
AM,13,01803,Ipixuna,24387
AM,13,01852,Iranduba,59767
AM,13,01902,Itacoatiara,103826
AM,13,01951,Itamarati,10783
AM,13,02009,Itapiranga,10183
AM,13,02108,Japurá,9281
